href,url,finalUrl,status,len,verdict
/content/mca/global/en/help-faq/faqs/company-services/din-related/dir-3-kyc.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/din-related/dir-3-kyc.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/din-related/dir-3-kyc.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/company-services/charge-management.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/charge-management.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/charge-management.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/company-services/informational-services.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/informational-services.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/informational-services.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/company-services/compliance-filing.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/compliance-filing.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/compliance-filing.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/company-services/approval-services.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/approval-services.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/approval-services.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/company-services/others.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/others.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/company-services/others.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/user-registration2.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/user-registration2.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/user-registration2.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/payment2.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/payment2/payment.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/payment.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/payment.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/payment2/list-of-authorised-banks.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/list-of-authorised-banks.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/list-of-authorised-banks.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/payment2/refund.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/refund.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/refund.html,200,15000,ACCESSIBLE
/content/mca/global/en/help-faq/faqs/payment2/cancel-srn-due-to-unsuccessful-payment.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/cancel-srn-due-to-unsuccessful-payment.html,https://www.mca.gov.in/content/mca/global/en/help-faq/faqs/payment2/cancel-srn-due-to-unsuccessful-payment.html,200,15000,ACCESSIBLE
