text,href,domain,type
INC-18 - Conversion of section 8 company,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/form-inc18.html,www.mca.gov.in (relative),INTERNAL
ADT-2 - Removal of auditor(s),/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/ADT-2.html,www.mca.gov.in (relative),INTERNAL
RD-1 - Filing application to Regional Director,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/form-rd-1.html,www.mca.gov.in (relative),INTERNAL
ADJ - Memorandum of Appeal,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/form-adj.html,www.mca.gov.in (relative),INTERNAL
INC-24 - Application for change of name,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/INC24.html,www.mca.gov.in (relative),INTERNAL
INC-12 - Application for License to an existing company u/s 8,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/form-inc12.html,www.mca.gov.in (relative),INTERNAL
MSC-1 - Application for obtaining status of dormant company,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/msc-1.html,www.mca.gov.in (relative),INTERNAL
Form MSC-4 – Application for obtaining active status,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/msc-4.html,www.mca.gov.in (relative),INTERNAL
STK-2 - Removal of name from Register of Companies,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/STK-2.html,www.mca.gov.in (relative),INTERNAL
GNL-1 - Application with Registrar of Companies,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/GNL-1.html,www.mca.gov.in (relative),INTERNAL
MR-2 - CG Approval for Appointment/Reappointment of directors,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/MR-2.html,www.mca.gov.in (relative),INTERNAL
ADT-4 - Form ADT-4 to the Central Government,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/form-adt4.html,www.mca.gov.in (relative),INTERNAL
CRA-2 - Appointment of cost auditor,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/form-cra2.html,www.mca.gov.in (relative),INTERNAL
Change Request Form,/content/mca/global/en/mca/e-filing/approval-services-roc-rd-hq/change-request.html,www.mca.gov.in (relative),INTERNAL
Annual Filings,/content/mca/global/en/mca/e-filing/annual-filings.html,www.mca.gov.in (relative),INTERNAL
CRA-4 - Cost audit report,/content/mca/global/en/mca/e-filing/annual-filings/form-cra-4.html,www.mca.gov.in (relative),INTERNAL
AOC-4 - Financial statement and other documents,/content/mca/global/en/mca/e-filing/annual-filings/form-aoc4.html,www.mca.gov.in (relative),INTERNAL
AOC-4 - Financial statement and other documents - OFFLINE,/content/mca/global/en/mca/e-filing/annual-filings/form-aoc4-offline.html,www.mca.gov.in (relative),INTERNAL
CSR-2 - Reporting on CSR,/content/mca/global/en/mca/e-filing/annual-filings/CSR-2.html,www.mca.gov.in (relative),INTERNAL
AOC-4 CFS - Consolidated financial statements,/content/mca/global/en/mca/e-filing/annual-filings/form-aoc4cfs.html,www.mca.gov.in (relative),INTERNAL
AOC-4 CFS - Consolidated financial statements - OFFLINE,/content/mca/global/en/mca/e-filing/annual-filings/form-aoc4cfs-offline.html,www.mca.gov.in (relative),INTERNAL
AOC-4 NBFC - Financial statement for NBFCs,/content/mca/global/en/mca/e-filing/annual-filings/form-aoc4nbfc.html,www.mca.gov.in (relative),INTERNAL
AOC-4 NBFC - Financial statement for NBFCs - OFFLINE,/content/mca/global/en/mca/e-filing/annual-filings/form-aoc4nbfc-offline.html,www.mca.gov.in (relative),INTERNAL
AOC-4 (XBRL) - Form for filing XBRL document in respect of financial statement and other documents with the Registrar,/content/mca/global/en/mca/e-filing/annual-filings/aoc-4-xbrl.html,www.mca.gov.in (relative),INTERNAL
AOC-5 - Notice of address at which books of account are maintained,/content/mca/global/en/mca/e-filing/annual-filings/AOC-5.html,www.mca.gov.in (relative),INTERNAL
